皇仁書院,Zora
恩主教書院,X
港島民生書院,Artemis
寶安商會王少清中學,Hygge
聖公會白約翰會督中學,Spark
何東中學,Athena
福建中學,Solaris
天主教母佑會蕭明中學,Arimina
香港四邑商工總會黃棣珊紀念中學,Eleanore
民生書院,Elpis
浸信會呂明才中學,Aquila
香港管理專業協會羅桂祥中學,initial
基督教宣道會宣基中學,Pharos
聖類斯中學,Revici
真光女書院,Larenis
張祝珊英文中學,Affinitus 
優才（楊殷有娣）書院,Oasis
新界西貢坑口區鄭植之中學,Ace
金文泰中學,Unity
寶血會上智英文書院,Soleil
將軍澳官立中學,Aucania
香港浸信會顯理中學,Meteor
保良局甲子何玉清中學,Fair
基督教崇真中學,Eunoia 
中華基督教會基朗中學 ,Memories
中華基督教會銘賢書院,Elpis
聖公會鄧肇堅中學,Aegis
香港道教聯合會鄧顯紀念中學,Nova
荔景天主教中學,Blaze
德信中學,Meteor 
香港神託會培基書院,Amigo
德愛中學,Uranus
高主教書院,Zendra
伊利沙伯中學,Solis
東華三院張明添中學,UNKNOWN
順德聯誼總會李兆基中學,Utopia
博愛醫院歷屆總理聯誼會梁省德中學,HËLIOS
沙田循道衞理中學,Anchor
聖安當女書院,Nexus
慈幼英文學校,Diversity
荃灣聖方濟中學,synergy 
惠僑英文中學,Drifting
中華基督教會協和書院,Initial 
順利天主教中學,Împreună
聖若瑟英文中學,Acropolis
新會商會陳白沙記念中學,goddess
景嶺書院,Telonious
保良局羅氏基金中學,Clover
順德聯誼總會梁銶琚中學,Astra
嘉諾撒培德書院,yume
仁愛堂田家炳中學,Apricity
拔萃男書院,Solstice
博愛醫院陳楷紀念中學,echo
聖公會呂明才中學,Zora
香港青年協會李兆基書院,Nouvelle
香港神託會培敦中學,Belief信燃
聖保羅書院,Exllumia
仁濟醫院林百欣中學,Triangle 
聖公會林護紀念中學,UNKNOWN
將軍澳官立中學,Aucania
華仁書院(九龍),Ikigai
天水圍循道衞理中學,UNKNOWN
英皇書院,UNKNOWN
中華傳道會安柱中學,UNKNOWN
銘基書院,UNKNOWN
九龍塘學校,UNKNOWN
賽馬會官立中學,UNKNOWN
荃灣官立中學,UNKNOWN
中華基金中學,UNKNOWN
聖羅撒書院,UNKNOWN
基督書院,UNKNOWN
